VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
1,2016-12-13 06:59:47,2016-12-13 07:07:28,1,3.60,1,N,107,87,1,12,0,0.5,2.55,0,0.3,15.35
2,2016-12-13 12:21:01,2016-12-13 12:23:25,5,.61,1,N,163,142,1,4,0,0.5,0.75,0,0.3,5.55
1,2016-12-03 00:25:42,2016-12-03 00:32:35,1,1.00,1,N,164,230,1,6.5,0.5,0.5,1.2,0,0.3,9
2,2016-12-01 13:45:04,2016-12-01 13:46:38,1,.17,1,N,262,262,2,3,0,0.5,0,0,0.3,3.8
2,2016-12-21 12:43:09,2016-12-21 13:13:13,1,3.76,1,N,113,237,1,19.5,0,0.5,4.06,0,0.3,24.36
2,2016-12-09 00:46:19,2016-12-09 00:57:30,1,2.30,1,N,13,249,1,10.5,0.5,0.5,3.54,0,0.3,15.34
1,2016-12-23 08:38:15,2016-12-23 08:51:28,1,4.80,1,N,238,244,1,16.5,0,0.5,5.15,0,0.3,22.45
2,2016-12-03 22:40:58,2016-12-03 22:47:31,1,1.12,1,N,137,79,1,6,0.5,0.5,1,0,0.3,8.3
2,2016-12-01 11:25:18,2016-12-01 11:56:26,5,2.76,1,N,237,100,2,19.5,0,0.5,0,0,0.3,20.3
2,2016-12-16 18:01:43,2016-12-16 18:11:17,2,1.62,1,N,114,224,1,8.5,1,0.5,3.09,0,0.3,13.39
2,2016-12-21 07:49:01,2016-12-21 07:53:47,2,1.06,1,N,113,68,1,5.5,0,0.5,1.26,0,0.3,7.56
2,2016-12-17 19:32:10,2016-12-17 19:47:33,5,1.32,1,N,158,234,1,10.5,0,0.5,0,0,0.3,11.3
2,2016-12-24 13:13:34,2016-12-24 13:44:08,2,15.95,1,N,7,67,2,44,0,0.5,0,0,0.3,44.8
1,2016-12-10 16:51:14,2016-12-10 17:00:31,1,1.50,1,N,263,229,2,8.5,0,0.5,0,0,0.3,9.3
2,2016-12-08 20:50:00,2016-12-08 20:59:30,1,1.66,1,N,48,142,1,8.5,0.5,0.5,2.45,0,0.3,12.25
1,2016-12-21 18:20:00,2016-12-21 18:25:58,1,.60,1,N,236,263,3,5.5,1,0.5,0,0,0.3,7.3
1,2016-12-24 17:29:27,2016-12-24 17:41:16,1,2.00,1,N,264,264,2,9.5,0,0.5,0,0,0.3,10.3
1,2016-12-21 14:04:48,2016-12-21 14:11:36,1,.60,1,N,170,164,1,6,0,0.5,1.2,0,0.3,8
1,2016-12-05 07:46:39,2016-12-05 07:50:35,1,.70,1,N,237,140,1,4.5,0,0.5,1,0,0.3,6.3
2,2016-12-08 11:49:39,2016-12-08 12:02:48,1,1.41,1,N,161,237,1,9.5,0,0.5,2.06,0,0.3,12.36
2,2016-12-21 13:00:09,2016-12-21 13:09:13,1,1.31,1,N,107,4,1,8,0,0.5,1.76,0,0.3,10.56
1,2016-12-19 12:32:59,2016-12-19 12:37:26,1,.60,1,N,263,236,2,5,0,0.5,0,0,0.3,5.8
1,2016-12-02 22:46:58,2016-12-02 23:00:40,2,.90,1,N,79,79,1,9.5,0.5,0.5,2.15,0,0.3,12.95
1,2016-12-17 10:17:07,2016-12-17 10:23:05,1,.90,1,N,164,230,2,5.5,0,0.5,0,0,0.3,6.3
2,2016-12-03 16:26:54,2016-12-03 16:40:51,5,2.09,1,N,237,186,1,11,0,0.5,2.36,0,0.3,14.16
2,2016-12-04 02:34:32,2016-12-04 02:44:05,1,1.85,1,N,234,79,1,8.5,0.5,0.5,1.96,0,0.3,11.76
2,2016-12-12 19:00:57,2016-12-12 19:04:44,1,.78,1,N,107,137,1,5,1,0.5,1.36,0,0.3,8.16
2,2016-12-08 20:34:55,2016-12-08 20:54:26,1,2.74,1,N,162,143,1,14.5,0.5,0.5,2.37,0,0.3,18.17
1,2016-12-24 18:42:02,2016-12-24 18:54:40,1,2.10,1,N,113,161,2,10.5,0,0.5,0,0,0.3,11.3
1,2016-12-29 08:58:53,2016-12-29 09:18:19,1,1.40,1,N,233,100,1,12.5,0,0.5,2.65,0,0.3,15.95
